date_from,date_to
"January 19, 3971",3971-01-19
"January 9, 2290",2290-01-09
"January 10, 9439",9439-01-10
"January 29, 1285",1285-01-29
"January 5, 9888",9888-01-05
"January 21, 4918",4918-01-21
"January 23, 7714",7714-01-23
"January 26, 9166",9166-01-26
"January 26, 3862",3862-01-26
"January 8, 8966",8966-01-08
"January 23, 5822",5822-01-23
"January 5, 6924",6924-01-05
"January 26, 7137",7137-01-26
"January 29, 5643",5643-01-29
"January 5, 7601",7601-01-05
"January 14, 6253",6253-01-14
"January 18, 6117",6117-01-18
"January 22, 8377",8377-01-22
"January 12, 3739",3739-01-12
"January 29, 6564",6564-01-29
"January 26, 6342",6342-01-26
"January 30, 9893",9893-01-30
"January 31, 4906",4906-01-31
"January 6, 6632",6632-01-06
"January 20, 4404",4404-01-20
"January 22, 5624",5624-01-22
"January 15, 7502",7502-01-15
"January 5, 3328",3328-01-05
"January 16, 1394",1394-01-16
"January 8, 4660",4660-01-08
"January 1, 1333",1333-01-01
"January 30, 8073",8073-01-30
"January 26, 3725",3725-01-26
"January 12, 6810",6810-01-12
"January 17, 6522",6522-01-17
"January 24, 9686",9686-01-24
"January 29, 6461",6461-01-29
"January 28, 3287",3287-01-28
"January 7, 5686",5686-01-07
"January 26, 3903",3903-01-26
"January 9, 7224",7224-01-09
"January 29, 4130",4130-01-29
"January 21, 8872",8872-01-21
"January 20, 9882",9882-01-20
"January 11, 6992",6992-01-11
"January 9, 8918",8918-01-09
"January 9, 6349",6349-01-09
"January 29, 4936",4936-01-29
"January 21, 9782",9782-01-21
"January 9, 3126",3126-01-09
"January 24, 3577",3577-01-24
"January 30, 7447",7447-01-30
"January 1, 3985",3985-01-01
"January 2, 4219",4219-01-02
"January 17, 3099",3099-01-17
"January 23, 7469",7469-01-23
"January 29, 9186",9186-01-29
"January 27, 1751",1751-01-27
"January 13, 2536",2536-01-13
"January 13, 3648",3648-01-13
"January 28, 1272",1272-01-28
"January 31, 3357",3357-01-31
"January 17, 7050",7050-01-17
"January 17, 8051",8051-01-17
"January 7, 4517",4517-01-07
"January 11, 4931",4931-01-11
"January 11, 9042",9042-01-11
"January 4, 5651",5651-01-04
"January 19, 8116",8116-01-19
"January 5, 1624",1624-01-05
"January 6, 1054",1054-01-06
"January 19, 4283",4283-01-19
"January 31, 1517",1517-01-31
"January 26, 2242",2242-01-26
"January 26, 2763",2763-01-26
"January 24, 2826",2826-01-24
"January 30, 9352",9352-01-30
"January 20, 4819",4819-01-20
"January 13, 7077",7077-01-13
"January 14, 4710",4710-01-14
"January 7, 6809",6809-01-07
"January 18, 3420",3420-01-18
"January 9, 3335",3335-01-09
"January 30, 6551",6551-01-30
"January 13, 2698",2698-01-13
"January 13, 6967",6967-01-13
"January 25, 2859",2859-01-25
"January 7, 1900",1900-01-07
"January 19, 3775",3775-01-19
"January 30, 4940",4940-01-30
"January 30, 7879",7879-01-30
"January 4, 1180",1180-01-04
"January 14, 9622",9622-01-14
"January 1, 4642",4642-01-01
"January 21, 2862",2862-01-21
"January 22, 5618",5618-01-22
"January 19, 2470",2470-01-19
"January 23, 8961",8961-01-23
"January 6, 1804",1804-01-06
"January 14, 7226",7226-01-14
"January 26, 4011",4011-01-26
"January 20, 6278",6278-01-20
"January 29, 8778",8778-01-29
"January 6, 9498",9498-01-06
"January 10, 4438",4438-01-10
"January 24, 1350",1350-01-24
"January 22, 8486",8486-01-22
"January 12, 7722",7722-01-12
"January 2, 4288",4288-01-02
"January 19, 8573",8573-01-19
"January 6, 3395",3395-01-06
"January 11, 2105",2105-01-11
"January 27, 7296",7296-01-27
"January 18, 5603",5603-01-18
"January 5, 8800",8800-01-05
"January 19, 7891",7891-01-19
"January 2, 9478",9478-01-02
"January 10, 2412",2412-01-10
"January 31, 2343",2343-01-31
"January 25, 7475",7475-01-25
"January 25, 5373",5373-01-25
"January 22, 7333",7333-01-22
"January 15, 4959",4959-01-15
"January 1, 6595",6595-01-01
"January 21, 2918",2918-01-21
"January 15, 4042",4042-01-15
"January 8, 8277",8277-01-08
"January 31, 7681",7681-01-31
"January 19, 2400",2400-01-19
"January 2, 4754",4754-01-02
"January 20, 4125",4125-01-20
"January 29, 6524",6524-01-29
"January 15, 4666",4666-01-15
"January 25, 4329",4329-01-25
"January 28, 7547",7547-01-28
"January 17, 6873",6873-01-17
"January 28, 4209",4209-01-28
"January 30, 5198",5198-01-30
"January 8, 2259",2259-01-08
"January 23, 1214",1214-01-23
"January 29, 4038",4038-01-29
"January 10, 4616",4616-01-10
"January 25, 2973",2973-01-25
"January 14, 1463",1463-01-14
"January 26, 9720",9720-01-26
"January 14, 7065",7065-01-14
"January 11, 4172",4172-01-11
"January 18, 6198",6198-01-18
"January 31, 5296",5296-01-31
"January 16, 1637",1637-01-16
"January 5, 5027",5027-01-05
"January 20, 2430",2430-01-20
"January 21, 7007",7007-01-21
"January 17, 6760",6760-01-17
"January 4, 1273",1273-01-04
"January 9, 2382",2382-01-09
"January 21, 1046",1046-01-21
"January 19, 6290",6290-01-19
"January 23, 9068",9068-01-23
"January 25, 6113",6113-01-25
"January 26, 9779",9779-01-26
"January 7, 4415",4415-01-07
"January 29, 8326",8326-01-29
"January 22, 1581",1581-01-22
"January 28, 6941",6941-01-28
"January 10, 5766",5766-01-10
"January 14, 1162",1162-01-14
"January 14, 5281",5281-01-14
"January 1, 1118",1118-01-01
"January 7, 8782",8782-01-07
"January 25, 7342",7342-01-25
"January 28, 4869",4869-01-28
"January 3, 4069",4069-01-03
"January 15, 4667",4667-01-15
"January 19, 3529",3529-01-19
"January 7, 5531",5531-01-07
"January 8, 1714",1714-01-08
"January 16, 3325",3325-01-16
"January 7, 6615",6615-01-07
"January 27, 3655",3655-01-27
"January 5, 4286",4286-01-05
"January 22, 5735",5735-01-22
"January 3, 5375",5375-01-03
"January 6, 5215",5215-01-06
"January 28, 5412",5412-01-28
"January 7, 4298",4298-01-07
"January 10, 4733",4733-01-10
"January 26, 8487",8487-01-26
"January 8, 1751",1751-01-08
"January 23, 2305",2305-01-23
"January 20, 5999",5999-01-20
"January 12, 7153",7153-01-12
"January 12, 6147",6147-01-12
"January 15, 5567",5567-01-15
"January 25, 5778",5778-01-25
"January 13, 7627",7627-01-13
"January 24, 9559",9559-01-24
"January 21, 8833",8833-01-21
"January 12, 6072",6072-01-12
"January 28, 2476",2476-01-28
"January 22, 5567",5567-01-22
"January 31, 8643",8643-01-31
"January 9, 9355",9355-01-09
"January 14, 5375",5375-01-14
"January 21, 2235",2235-01-21
"January 7, 7467",7467-01-07
"January 15, 3013",3013-01-15
"January 26, 2549",2549-01-26
"January 10, 7219",7219-01-10
"January 7, 2911",2911-01-07
"January 17, 1529",1529-01-17
"January 3, 2305",2305-01-03
"January 18, 9507",9507-01-18
"January 4, 5926",5926-01-04
"January 19, 4796",4796-01-19
"January 21, 6260",6260-01-21
"January 11, 8769",8769-01-11
"January 26, 5446",5446-01-26
"January 12, 4828",4828-01-12
"January 19, 9856",9856-01-19
"January 3, 9715",9715-01-03
"January 6, 5755",5755-01-06
"January 19, 5183",5183-01-19
"January 31, 6779",6779-01-31
"January 4, 8840",8840-01-04
"January 2, 7188",7188-01-02
"January 10, 5434",5434-01-10
"January 24, 7336",7336-01-24
"January 4, 6702",6702-01-04
"January 18, 6175",6175-01-18
"January 21, 1980",1980-01-21
"January 28, 2100",2100-01-28
"January 12, 1445",1445-01-12
"January 24, 3401",3401-01-24
"January 20, 4607",4607-01-20
"January 24, 8973",8973-01-24
"January 25, 9734",9734-01-25
"January 15, 2461",2461-01-15
"January 11, 3999",3999-01-11
"January 31, 7834",7834-01-31
"January 31, 5164",5164-01-31
"January 28, 8757",8757-01-28
"January 29, 6220",6220-01-29
"January 13, 3492",3492-01-13
"January 13, 9755",9755-01-13
"January 26, 7861",7861-01-26
"January 11, 6070",6070-01-11
"January 6, 9803",9803-01-06
"January 15, 1686",1686-01-15
"January 2, 2020",2020-01-02
"January 12, 4719",4719-01-12
"January 18, 4425",4425-01-18
"January 3, 7674",7674-01-03
"January 1, 3547",3547-01-01
"January 5, 1409",1409-01-05
"January 18, 4667",4667-01-18
"January 4, 7036",7036-01-04
"January 4, 9257",9257-01-04
"January 8, 2643",2643-01-08
"January 30, 4763",4763-01-30
"January 5, 8895",8895-01-05
"January 24, 4577",4577-01-24
"January 22, 5651",5651-01-22
"January 31, 4000",4000-01-31
"January 31, 2408",2408-01-31
"January 1, 5007",5007-01-01
"January 12, 3266",3266-01-12
"January 18, 6282",6282-01-18
"January 28, 1234",1234-01-28
"January 28, 2306",2306-01-28
"January 31, 1443",1443-01-31
"January 8, 8232",8232-01-08
"January 4, 9328",9328-01-04
"January 20, 2844",2844-01-20
"January 4, 7895",7895-01-04
"January 25, 9153",9153-01-25
"January 24, 2982",2982-01-24
"January 22, 8887",8887-01-22
"January 21, 4460",4460-01-21
"January 30, 9026",9026-01-30
"January 28, 4296",4296-01-28
"January 3, 5934",5934-01-03
"January 26, 8690",8690-01-26
"January 23, 4887",4887-01-23
"January 21, 1247",1247-01-21
"January 25, 1677",1677-01-25
"January 15, 9241",9241-01-15
"January 31, 7902",7902-01-31
"January 4, 2297",2297-01-04
"January 18, 8073",8073-01-18
"January 4, 1054",1054-01-04
"January 24, 7399",7399-01-24
"January 28, 3674",3674-01-28
"January 6, 8896",8896-01-06
"January 4, 3935",3935-01-04
"January 23, 4191",4191-01-23
"January 15, 5274",5274-01-15
"January 7, 2122",2122-01-07
"January 8, 1560",1560-01-08
"January 9, 7690",7690-01-09
"January 6, 4629",4629-01-06
"January 22, 6036",6036-01-22
"January 22, 8074",8074-01-22
"January 17, 6420",6420-01-17
"January 9, 7809",7809-01-09
"January 27, 5420",5420-01-27
"January 8, 1942",1942-01-08
"January 20, 5934",5934-01-20
"January 10, 3961",3961-01-10
"January 20, 5392",5392-01-20
"January 20, 3587",3587-01-20
"January 30, 7385",7385-01-30
"January 21, 4422",4422-01-21
"January 7, 9476",9476-01-07
"January 8, 1213",1213-01-08
"January 7, 8379",8379-01-07
"January 16, 4958",4958-01-16
"January 19, 1048",1048-01-19
"January 2, 1470",1470-01-02
"January 7, 2485",2485-01-07
"January 2, 8437",8437-01-02
"January 31, 1223",1223-01-31
"January 2, 7289",7289-01-02
"January 31, 5255",5255-01-31
"January 4, 8098",8098-01-04
"January 7, 2857",2857-01-07
"January 6, 8943",8943-01-06
"January 10, 9411",9411-01-10
"January 13, 3796",3796-01-13
"January 5, 9697",9697-01-05
"January 3, 7379",7379-01-03
"January 3, 2732",2732-01-03
"January 31, 4233",4233-01-31
"January 1, 6643",6643-01-01
"January 10, 7529",7529-01-10
"January 15, 5174",5174-01-15
"January 6, 7737",7737-01-06
"January 7, 9567",9567-01-07
"January 19, 3660",3660-01-19
"January 6, 5950",5950-01-06
"January 25, 5092",5092-01-25
"January 28, 7166",7166-01-28
"January 25, 6201",6201-01-25
"January 21, 7100",7100-01-21
"January 27, 8567",8567-01-27
"January 1, 1886",1886-01-01
"January 14, 1938",1938-01-14
"January 30, 4831",4831-01-30
"January 30, 2452",2452-01-30
"January 26, 1865",1865-01-26
"January 23, 1841",1841-01-23
"January 9, 3141",3141-01-09
"January 13, 4142",4142-01-13
"January 7, 8588",8588-01-07
"January 6, 3449",3449-01-06
"January 22, 3635",3635-01-22
"January 27, 3392",3392-01-27
"January 10, 2955",2955-01-10
"January 5, 5461",5461-01-05
"January 10, 2983",2983-01-10
"January 25, 4040",4040-01-25
"January 29, 4641",4641-01-29
"January 29, 6223",6223-01-29
"January 14, 6806",6806-01-14
"January 25, 8885",8885-01-25
"January 25, 9539",9539-01-25
"January 30, 9189",9189-01-30
"January 24, 2579",2579-01-24
"January 31, 1850",1850-01-31
"January 19, 3120",3120-01-19
"January 27, 7933",7933-01-27
"January 23, 6307",6307-01-23
"January 7, 6444",6444-01-07
"January 11, 3497",3497-01-11
"January 9, 4351",4351-01-09
"January 25, 8304",8304-01-25
"January 25, 2451",2451-01-25
"January 8, 5819",5819-01-08
"January 6, 3609",3609-01-06
"January 7, 9756",9756-01-07
"January 16, 2753",2753-01-16
"January 22, 5404",5404-01-22
"January 21, 4719",4719-01-21
"January 17, 6304",6304-01-17
"January 14, 7148",7148-01-14
"January 21, 5661",5661-01-21
"January 4, 7754",7754-01-04
"January 29, 1670",1670-01-29
"January 30, 6676",6676-01-30
"January 22, 6314",6314-01-22
"January 12, 7402",7402-01-12
"January 12, 1936",1936-01-12
"January 14, 2554",2554-01-14
"January 13, 3954",3954-01-13
"January 19, 2282",2282-01-19
"January 19, 4632",4632-01-19
"January 7, 9981",9981-01-07
"January 25, 3266",3266-01-25
"January 29, 8567",8567-01-29
"January 1, 8121",8121-01-01
"January 24, 4636",4636-01-24
"January 13, 4862",4862-01-13
"January 9, 6738",6738-01-09
"January 18, 8319",8319-01-18
"January 26, 8168",8168-01-26
"January 9, 2205",2205-01-09
"January 16, 1669",1669-01-16
"January 20, 1793",1793-01-20
"January 23, 2726",2726-01-23
"January 5, 7647",7647-01-05
"January 3, 6989",6989-01-03
"January 30, 1322",1322-01-30
"January 14, 7000",7000-01-14
"January 13, 2015",2015-01-13
"January 1, 7269",7269-01-01
"January 23, 8886",8886-01-23
"January 21, 7357",7357-01-21
"January 17, 6508",6508-01-17
"January 1, 2267",2267-01-01
"January 22, 9459",9459-01-22
"January 23, 2944",2944-01-23
"January 29, 5371",5371-01-29
"January 13, 9374",9374-01-13
"January 6, 9083",9083-01-06
"January 21, 7943",7943-01-21
"January 7, 3082",3082-01-07
"January 10, 4921",4921-01-10
"January 25, 4330",4330-01-25
"January 25, 5691",5691-01-25
"January 27, 6604",6604-01-27
"January 7, 6568",6568-01-07
"January 30, 2375",2375-01-30
"January 31, 4399",4399-01-31
"January 3, 5967",5967-01-03
"January 6, 9977",9977-01-06
"January 4, 6326",6326-01-04
"January 27, 9719",9719-01-27
"January 13, 8249",8249-01-13
"January 14, 1786",1786-01-14
"January 11, 3505",3505-01-11
"January 17, 6071",6071-01-17
"January 12, 1828",1828-01-12
"January 11, 4557",4557-01-11
"January 10, 4481",4481-01-10
"January 17, 3581",3581-01-17
"January 6, 2712",2712-01-06
"January 19, 6415",6415-01-19
"January 3, 7523",7523-01-03
"January 4, 6225",6225-01-04
"January 27, 3613",3613-01-27
"January 25, 9396",9396-01-25
"January 13, 5421",5421-01-13
"January 25, 1190",1190-01-25
"January 17, 8405",8405-01-17
"January 2, 7777",7777-01-02
"January 30, 2993",2993-01-30
"January 18, 4993",4993-01-18
"January 22, 8988",8988-01-22
"January 26, 3786",3786-01-26
"January 3, 9761",9761-01-03
"January 14, 5548",5548-01-14
"January 4, 9178",9178-01-04
"January 4, 9408",9408-01-04
"January 26, 5275",5275-01-26
"January 27, 3165",3165-01-27
"January 4, 9153",9153-01-04
"January 11, 6806",6806-01-11
"January 24, 5456",5456-01-24
"January 20, 1225",1225-01-20
"January 9, 1575",1575-01-09
"January 1, 4327",4327-01-01
"January 15, 6457",6457-01-15
"January 12, 5144",5144-01-12
"January 26, 6812",6812-01-26
"January 11, 9241",9241-01-11
"January 28, 5709",5709-01-28
"January 26, 4860",4860-01-26
"January 5, 6389",6389-01-05
"January 20, 9628",9628-01-20
"January 6, 4553",4553-01-06
"January 13, 8288",8288-01-13
"January 9, 5405",5405-01-09
"January 17, 8582",8582-01-17
"January 26, 4123",4123-01-26
"January 14, 8316",8316-01-14
"January 14, 2554",2554-01-14
"January 27, 4743",4743-01-27
"January 18, 8791",8791-01-18
"January 19, 5569",5569-01-19
"January 21, 6634",6634-01-21
"January 8, 1138",1138-01-08
"January 18, 8469",8469-01-18
"January 30, 9671",9671-01-30
"January 14, 6895",6895-01-14
"January 6, 7120",7120-01-06
"January 27, 2166",2166-01-27
"January 25, 2390",2390-01-25
"January 27, 8040",8040-01-27
"January 17, 7247",7247-01-17
"January 27, 7426",7426-01-27
"January 3, 2743",2743-01-03
"January 29, 9419",9419-01-29
"January 21, 5410",5410-01-21
"January 30, 3313",3313-01-30
"January 13, 3287",3287-01-13
"January 10, 6289",6289-01-10
"January 7, 8642",8642-01-07
"January 31, 8903",8903-01-31
"January 20, 5393",5393-01-20
"January 20, 6558",6558-01-20
"January 20, 9438",9438-01-20
"January 31, 6084",6084-01-31
"January 4, 1241",1241-01-04
"January 22, 5658",5658-01-22
"January 10, 5050",5050-01-10
"January 22, 7221",7221-01-22
"January 30, 9045",9045-01-30
"January 8, 2626",2626-01-08
"January 21, 3967",3967-01-21
"January 30, 8802",8802-01-30
"January 27, 1879",1879-01-27
"January 14, 3569",3569-01-14
"January 9, 9361",9361-01-09
"January 20, 5423",5423-01-20
"January 26, 6555",6555-01-26
"January 15, 8629",8629-01-15
"January 6, 6065",6065-01-06
"January 16, 1104",1104-01-16
"January 4, 8256",8256-01-04
"January 16, 5151",5151-01-16
"January 20, 8304",8304-01-20
"January 19, 7862",7862-01-19
"January 2, 6607",6607-01-02
"January 9, 9755",9755-01-09
"January 27, 5983",5983-01-27
"January 25, 9547",9547-01-25
"January 3, 7522",7522-01-03
"January 27, 3351",3351-01-27
"January 20, 1373",1373-01-20
"January 3, 7943",7943-01-03
"January 17, 2626",2626-01-17
"January 21, 9059",9059-01-21
"January 28, 4288",4288-01-28
"January 22, 2167",2167-01-22
"January 14, 2022",2022-01-14
"January 25, 2331",2331-01-25
"January 10, 6503",6503-01-10
"January 13, 4539",4539-01-13
"January 2, 7198",7198-01-02
"January 11, 9578",9578-01-11
"January 6, 6444",6444-01-06
"January 24, 6432",6432-01-24
"January 30, 4533",4533-01-30
"January 3, 2038",2038-01-03
"January 15, 5611",5611-01-15
"January 8, 2551",2551-01-08
"January 9, 1075",1075-01-09
"January 20, 7302",7302-01-20
"January 21, 2567",2567-01-21
"January 1, 8012",8012-01-01
"January 15, 3030",3030-01-15
"January 1, 2017",2017-01-01
"January 18, 3982",3982-01-18
"January 7, 3102",3102-01-07
"January 3, 3307",3307-01-03
"January 23, 6088",6088-01-23
"January 31, 3365",3365-01-31
"January 23, 5309",5309-01-23
"January 10, 1139",1139-01-10
"January 13, 4039",4039-01-13
"January 2, 2389",2389-01-02
"January 17, 4254",4254-01-17
"January 16, 3451",3451-01-16
"January 28, 5280",5280-01-28
"January 23, 7060",7060-01-23
"January 28, 2883",2883-01-28
"January 29, 1927",1927-01-29
"January 16, 3704",3704-01-16
"January 7, 2417",2417-01-07
"January 28, 8103",8103-01-28
"January 16, 1796",1796-01-16
"January 31, 7118",7118-01-31
"January 29, 8131",8131-01-29
"January 18, 3708",3708-01-18
"January 12, 3421",3421-01-12
"January 15, 9583",9583-01-15
"January 6, 5926",5926-01-06
"January 20, 3400",3400-01-20
"January 11, 8433",8433-01-11
"January 17, 3485",3485-01-17
"January 22, 4010",4010-01-22
